Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;Hôtel Ac Montréal Centre-ville;4.0;366.75;15;74.6;1366.3;410.75;8;3;672.6;14.00;7;5;693.7;30.00;City Hall|Notre-Dame-de-Bon-Secours Chapel|L'original Art Gallery|La Guilde - Montreal|Leonard Cohen Mural|Place d'Armes|Cathédrale Christ Church Cathedral|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;Aldred Building - Montreal|Complexe Desjardins|Maisonneuve Monument - Montreal|Notre-Dame Basilica|Musée Marguerite-Bourgeoys|Crystal Dreams St Denis - Montreal|Palais des Congres;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking
2;Hotel William Gray;4.8;498.00;15;76.2;1384.9;542.00;8;3;686.1;14.00;7;5;698.8;30.00;City Hall|Notre-Dame-de-Bon-Secours Chapel|L'original Art Gallery|La Guilde - Montreal|Leonard Cohen Mural|Place d'Armes|Cathédrale Christ Church Cathedral|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;Aldred Building - Montreal|Complexe Desjardins|Maisonneuve Monument - Montreal|Notre-Dame Basilica|Musée Marguerite-Bourgeoys|Crystal Dreams St Denis - Montreal|Palais des Congres;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking
3;Alternative Hostel of Old Montreal;4.5;35.75;14;70.8;1278.5;115.17;7;3;594.5;14.00;7;4;684.1;65.42;City Hall|Notre-Dame-de-Bon-Secours Chapel|L'original Art Gallery|La Guilde - Montreal|Leonard Cohen Mural|Place d'Armes|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;Aldred Building - Montreal|Complexe Desjardins|Maisonneuve Monument - Montreal|Notre-Dame Basilica|Musée Marguerite-Bourgeoys|Crystal Dreams St Denis - Montreal|Oasis Immersion - Montreal;Walking|Walking|Walking|Walking|Walking|Bus|Subway|Walking
4;Alternative Hostel of Old Montreal;4.5;35.75;14;70.4;1310.9;101.17;7;4;632.6;30.00;7;5;678.3;35.42;Palais des Congres|Notre-Dame Basilica|La Guilde - Montreal|Place d'Armes|City Hall|Notre-Dame-de-Bon-Secours Chapel|Aldred Building - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;Kondiaronk Belvedere|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|L'original Art Gallery|St. Patrick's Basilica|Oasis Immersion - Montreal|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking
5;Samesun Montreal Central;4.4;60.00;13;67.3;1112.4;104.00;8;3;671.4;30.00;5;3;441.0;14.00;Maisonneuve Monument - Montreal|Notre-Dame Basilica|Aldred Building - Montreal|Notre-Dame-de-Bon-Secours Chapel|Leonard Cohen Mural|La Guilde - Montreal|L'original Art Gallery|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|City Hall|Musée Marguerite-Bourgeoys|Crystal Dreams St Denis - Montreal|Bibliotheque et Archives Nationales du Quebec;Subway|Walking|Walking|Walking|Walking|Walking
6;Alternative Hostel of Old Montreal;4.5;35.75;13;65.9;1405.6;35.75;6;4;703.3;0.00;7;5;702.2;0.00;Aldred Building - Montreal|Palais des Congres|Place d'Armes|La Guilde - Montreal|City Hall|Bota Bota, Spa-sur-l'eau - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Kondiaronk Belvedere|Cathédrale Christ Church Cathedral|St. Patrick's Basilica|L'original Art Gallery|Leonard Cohen Mural|Pont Jacques-Cartier - Montreal|Maisonneuve Monument - Montreal;Bus|Walking|Walking|Walking|Walking|Walking|Walking|Walking
7;Alternative Hostel of Old Montreal;4.5;35.75;12;63.1;1181.9;35.75;5;3;522.8;0.00;7;5;659.1;0.00;Aldred Building - Montreal|La Guilde - Montreal|Maisonneuve Monument - Montreal|City Hall|Bibliotheque et Archives Nationales du Quebec;Walking|Walking|Bus|Walking|Walking|Walking;St. Patrick's Basilica|Place d'Armes|Crystal Dreams St Denis - Montreal|L'original Art Gallery|Leonard Cohen Mural|Cathédrale Christ Church Cathedral|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking
8;Alternative Hostel of Old Montreal;4.5;35.75;12;62.4;1134.5;51.75;6;4;583.1;0.00;6;4;551.3;16.00;Aldred Building - Montreal|Maisonneuve Monument - Montreal|Leonard Cohen Mural|Complexe Desjardins|La Guilde - Montreal|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Kondiaronk Belvedere|Cathédrale Christ Church Cathedral|City Hall|Notre-Dame Basilica|St. Patrick's Basilica|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking|Walking
9;Alternative Hostel of Old Montreal;4.5;35.75;11;58.6;1040.4;35.75;6;3;576.8;0.00;5;4;463.6;0.00;Aldred Building - Montreal|La Guilde - Montreal|Bibliotheque et Archives Nationales du Quebec|City Hall|Maisonneuve Monument - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking|Walking;St. Patrick's Basilica|Place d'Armes|Crystal Dreams St Denis - Montreal|Leonard Cohen Mural|Cathédrale Christ Church Cathedral;Walking|Walking|Walking|Walking|Walking|Walking
10;Alternative Hostel of Old Montreal;4.5;35.75;10;54.5;935.2;35.75;6;4;553.6;0.00;4;3;381.6;0.00;Aldred Building - Montreal|Maisonneuve Monument - Montreal|Crystal Dreams St Denis - Montreal|La Guilde - Montreal|Kondiaronk Belvedere|Cathédrale Christ Church Cathedral;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Place d'Armes|St. Patrick's Basilica|Leonard Cohen Mural|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking
11;Alternative Hostel of Old Montreal;4.5;35.75;9;49.7;809.9;35.75;5;3;388.0;0.00;4;3;421.9;0.00;Place d'Armes|Kondiaronk Belvedere|La Guilde - Montreal|Leonard Cohen Mural|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking;St. Patrick's Basilica|Cathédrale Christ Church Cathedral|Bibliotheque et Archives Nationales du Quebec|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking
12;Alternative Hostel of Old Montreal;4.5;35.75;8;45.1;709.9;35.75;5;3;427.2;0.00;3;3;282.6;0.00;Aldred Building - Montreal|Maisonneuve Monument - Montreal|Leonard Cohen Mural|La Guilde - Montreal|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|St. Patrick's Basilica|L'original Art Gallery;Walking|Walking|Walking|Walking
13;Auberge L'Apero;4.0;25.25;8;43.6;956.7;25.25;4;3;330.0;0.00;4;4;626.7;0.00;Maisonneuve Monument - Montreal|City Hall|Crystal Dreams St Denis - Montreal|Place d'Armes;Walking|Walking|Walking|Walking|Walking;Mount Royal Park|Cathédrale Christ Church Cathedral|Belvedere Camillien-Houde - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking
14;Ambrose House & Café;3.9;244.25;7;38.7;579.8;260.25;4;3;336.0;16.00;3;2;243.9;0.00;Maisonneuve Monument - Montreal|Notre-Dame Basilica|L'original Art Gallery|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking;Place d'Armes|City Hall|Cathédrale Christ Church Cathedral;Walking|Walking|Walking|Walking
15;Auberge L'Apero;4.0;25.25;7;39.4;857.4;25.25;4;3;330.0;0.00;3;3;527.4;0.00;Maisonneuve Monument - Montreal|City Hall|Crystal Dreams St Denis - Montreal|Place d'Armes;Walking|Walking|Walking|Walking|Walking;Mount Royal Park|Belvedere Camillien-Houde - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking
16;Alternative Hostel of Old Montreal;4.5;35.75;6;36.0;532.4;35.75;3;2;259.8;0.00;3;2;272.5;0.00;Aldred Building - Montreal|Maisonneuve Monument - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Leonard Cohen Mural;Walking|Walking|Walking|Walking
17;Auberge L'Apero;4.0;25.25;6;34.5;623.1;25.25;4;4;338.5;0.00;2;2;284.6;0.00;Maisonneuve Monument - Montreal|City Hall|Crystal Dreams St Denis - Montreal|Cathédrale Christ Church Cathedral;Walking|Walking|Walking|Walking|Walking;Mount Royal Park|Leonard Cohen Mural;Walking|Walking|Walking
18;Auberge L'Apero;4.0;25.25;5;30.3;462.9;25.25;2;2;185.7;0.00;3;3;277.2;0.00;Place d'Armes|La Guilde - Montreal;Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking
19;Alternative Hostel of Old Montreal;4.5;35.75;4;27.2;365.7;35.75;3;3;272.0;0.00;1;1;93.8;0.00;Maisonneuve Monument - Montreal|La Guilde - Montreal|L'original Art Gallery;Walking|Walking|Bus|Walking;Cathédrale Christ Church Cathedral;Walking|Walking
20;Auberge L'Apero;4.0;25.25;4;25.8;329.0;25.25;4;2;329.0;0.00;0;0;0.0;0.00;Place d'Armes|La Guilde - Montreal|Leonard Cohen Mural|Cathédrale Christ Church Cathedral;Walking|Walking|Walking|Walking|Walking;;
21;Auberge L'Apero;4.0;25.25;3;22.0;300.0;25.25;3;2;300.0;0.00;0;0;0.0;0.00;Place d'Armes|La Guilde - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking;;
22;Auberge L'Apero;4.0;25.25;3;21.2;272.5;25.25;2;2;185.7;0.00;1;1;86.8;0.00;Place d'Armes|La Guilde - Montreal;Walking|Walking|Walking;Cathédrale Christ Church Cathedral;Walking|Walking
23;LHotel;4.5;346.00;2;17.9;224.6;372.00;0;0;0.0;0.00;2;2;224.6;26.00;;;Cathédrale Christ Church Cathedral|Musée du Montréal juif - Museum of Jewish Montreal;Walking|Walking|Walking
24;Auberge L'Apero;4.0;25.25;2;16.4;176.8;25.25;1;1;90.0;0.00;1;1;86.8;0.00;Place d'Armes;Walking|Walking;Cathédrale Christ Church Cathedral;Walking|Walking
25;Alternative Hostel of Old Montreal;4.5;35.75;1;13.7;125.8;51.75;1;1;125.8;16.00;0;0;0.0;0.00;Notre-Dame Basilica;Walking|Walking;;
26;Le Westin Montreal;4.2;295.00;1;12.6;64.3;295.00;1;1;64.3;0.00;0;0;0.0;0.00;Maisonneuve Monument - Montreal;Walking|Walking;;
27;Auberge L'Apero;4.0;25.25;1;12.2;86.8;25.25;0;0;0.0;0.00;1;1;86.8;0.00;;;Cathédrale Christ Church Cathedral;Walking|Walking
28;The Ritz-Carlton, Montreal;4.9;1013.25;1;14.0;82.9;1013.25;0;0;0.0;0.00;1;1;82.9;0.00;;;Cathédrale Christ Church Cathedral;Walking|Walking
29;The Ritz-Carlton, Montreal;4.9;1013.25;1;14.0;75.4;1017.22;0;0;0.0;0.00;1;1;75.4;3.97;;;Cathédrale Christ Church Cathedral;Walking|Car
30;Hotel le Coach;4.5;195.50;1;13.2;90.0;195.50;0;0;0.0;0.00;1;1;90.0;0.00;;;Place d'Armes;Walking|Walking
