Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;30;9.93;1;11;5.30;11.0;55.6;31.68;66.9;1277.9;575.08;25.25;1119.22;228.84
2;30;38.36;1;13;5.50;12.2;66.9;32.68;64.6;1320.9;586.44;25.25;486.75;160.99
3;30;96.91;1;13;5.97;12.2;66.9;35.17;64.3;1352.4;598.67;25.25;700.75;184.96
4;30;153.01;1;13;5.50;12.2;67.0;33.32;64.3;1352.4;531.59;25.25;700.75;156.48
5;30;132.45;1;14;6.13;12.2;72.4;36.43;64.3;1328.5;567.27;25.25;1013.25;167.18
